English,"(for context, not to be translated)",Word Count: 1101,Divehi,
User Diaries,blog posts,2,ބޭނުންކުރާ ފަރާތްތަކުގެ ޑައިރީ,
View on [website],,2,ވެބްސައިޓުން ބެލުމަށް,
Water,,1,ފެން,
Water Features,"river, stream, etc",2,ފެެންގަނޑު، މޫދު، ކޯރު,
waterway,,1,ކަނޑުމަގު,
"We need to confirm that this request came from you, so please click the link below to confirm your account:",,20,މިއީ ތިފަރާތުން އައި ރިކުއެސްޓެއްކަން ޔަޤީންކުރުމަށްޓަކައި، ތިރީގައިވާ ލިންކަށް ފިތާލައްވާ. ,
We sent you a confirmation email. Confirm your account by clicking on the link in the email and you'll be able to start mapping.,,24,އެކައުންޓް ޔަޤީންކުރުމަށް އީލެއިލެއް ފޮނުވައިފިން. އީމެއިލްގައިވާ ލިންކަށް ފިތާލުމަށްފަހު އެކައުންޓް ޔަޤީންކުރެއްވުމުގައި ޗާޓު ބޭނުންކުރައްވަން ފެއްޓެވޭނެ,
Welcome to OpenStreetMap!,,3,އޯޕަން ސްޓްރީޓް މެޕަށް މަރުޙަބާ,
wet dock / dry dock,docking area for larger ships,4,ބޯޓުފަހަރު ބަނދަރުކުރާ ސަރަޙައްދު,
Wetland,,1,ޗަކަ ގަނޑު,
what's public domain,click to learn more about public domain,3,ޢާއްމުކޮށް ބޭނުންކުރާ ޑޮމެއިން,
When,when post was made,1,ކޮންއިރަކު,
Where am I?,clicking this goes to your location on the map,3,ކޮޮބާ އަހަރެން؟,
Wood,forest,1,ޖަންގަލި,
Yes || No,answering a question (i.e. one-way road?),2,އާއެކޭ ނުވަތަ ނޫނެކޭ,
"You can use OpenStreetMap to add and update data in your area, making an open-source and open-data map of the world better for everyone.",,26,ތިސަރަޙައްދުގެ ހުރިހާ މައުލޫމާތެއް އޯޕަން ސްޓްރީޓް މެޕްގައި ހިމެނޭނެ، މިއީ، ހުރިހާ އެންމެނަށް ފަސޭހަވާނެހެން މުޅި ދުނިޔޭގެ ހުރިހާ ހިސާބެއްގައި ބޭނުންކުރަމުންދާ ޗާޓެއް,
you have [10] sent messages,,4,ފޮނުވި މެސެޖްތައް,
you have [2] new messages and [4] old messages,,7,ނުކިޔާ މެސެޖްތަކާއި ކިޔާފައި ހުރި މެސެޖްތައް,
You have not added any friends yet.,,7,އެއްވެސް ބައިވެރިއަކު އިތުރުކޮށްފައެއް ނެތް,
"Your address is not displayed publicly, see our [privacy policy] for more information",,13,އެެޑްރެސް ޢާއްމުކޮށް ހާމައެއްނުކުރޭ، އިތުރު މައުލޫމާތު ހޯދުމަށް ޕްރައިވަސީ ޕޮލިސީ ކިޔުއްވާ,
Your Friends,,2,ބައިވެރިން,
Your GPS traces,,3,ޖީޕީއެސް މައުލޫމާތު,
Your publicly displayed username. You can change this later in the preferences.,,12,ޔޫސަރނޭމް މިހާރު ޢާއްމުކޮށް ފެންނާނެ، ބޭނުންނަމަ މިބައި ފަހުން ބަދަލުކުރެވޭނެ ,
Zoom In,,2,ޒޫމް އިން,
Zoom in to add a note to the map,,9,ޗާޓަށް މައުލޫމާތެއް އެއްކުރުމަށް ޒޫމްއިން ކުރައްވާ,
Zoom in to edit the map,you need to be close into the map before you can edit it,6,ޗާާޓު އެޑިޓްކުރުމަށް ޒޫމްއިން ކުރައްވާ,
Zoom in to query features,,5,ތަފްސީލު ބެލުމަށް ޒޫމްއިންކުރައްވާ,
Zoom Out,,2,ޒޫމް އައުޓް,
